,problem_index,flip_problem,flip_shots,num1,num2,problem_msg,problem_tokens,response_repeat,response,prompt_tokens,completion_tokens,shots,model,system_prompt,problem_number_format,answer_number_format,num_spaces,num_trailing_spaces,num_shots,problem_rng_key,shots_rng_key
0,0,False,False,2307350,6058422,2307350+6058422=,8,0,8365772,76,3,1883859+3177908=5061767,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
1,1,False,False,7778640,14016227,7778640+14016227=,8,0,21794867,76,3,6157348+19398045=25555393,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
2,2,False,False,9482500,964332763,9482500+964332763=,8,0,973815263,76,3,3081494+308527232=311608726,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
3,3,False,False,51629751,1711633,51629751+1711633=,8,0,53341384,76,3,97426154+1969350=99395504,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
4,4,False,False,57713793,81530413,57713793+81530413=,8,0,139244206,76,3,92371500+72839049=165210549,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
5,5,False,False,10841276,608537036,10841276+608537036=,8,0,619378312,76,3,67428907+164641795=232070702,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
6,6,False,False,201260781,7489051,201260781+7489051=,8,0,208749832,76,3,170208648+1856445=172065093,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
7,7,False,False,580528087,15255626,580528087+15255626=,8,0,595783713,76,3,412503372+78551156=491054528,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
8,8,False,False,391577960,272373856,391577960+272373856=,8,0,663951816,77,3,329309516+949576714=1278886230,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
9,9,False,False,5807401,2374360,5807401+2374360=,8,0,8181761,76,3,3459116+9779543=13238659,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
10,10,False,False,3735601,78222315,3735601+78222315=,8,0,81957916,76,3,8625231+47615144=56240375,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
11,11,False,False,6612747,566641845,6612747+566641845=,8,0,573254592,76,3,6355373+715618011=721973384,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
12,12,False,False,42267863,8567869,42267863+8567869=,8,0,50835732,76,3,81825437+2779456=84604893,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
13,13,False,False,47695019,29774166,47695019+29774166=,8,0,77469185,76,3,55309205+97600455=152909660,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
14,14,False,False,18614706,518722247,18614706+518722247=,8,0,537336953,76,3,61417760+339607145=401024905,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
15,15,False,False,306492243,5719768,306492243+5719768=,8,0,312211011,76,3,624426857+5126563=629553420,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
16,16,False,False,808630085,27532599,808630085+27532599=,8,0,836162684,76,3,217757908+27742716=245500624,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
17,17,False,False,430298470,694067915,430298470+694067915=,8,0,1127368385,77,4,504512742+780846284=1285359026,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
18,18,False,False,7169254,6322530,7169254+6322530=,8,0,13411784,76,3,3379874+5752675=9132549,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
19,19,False,False,8572387,76470457,8572387+76470457=,8,0,85042844,76,3,5819391+30296338=36115729,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
20,20,False,False,4304231,377004109,4304231+377004109=,8,0,381308340,76,3,9410680+298513967=307924647,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
21,21,False,False,92387097,3019679,92387097+3019679=,8,0,95306776,76,3,53306770+7984063=61290833,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
22,22,False,False,35295736,81720003,35295736+81720003=,8,0,117215739,76,3,75569500+39787328=115356828,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
23,23,False,False,31569348,923325852,31569348+923325852=,8,0,954895200,76,3,58849299+596122429=654971728,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
24,24,False,False,851153427,4266518,851153427+4266518=,8,0,855419945,76,3,835354186+7165905=842520091,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
25,25,False,False,910436316,79313778,910436316+79313778=,8,0,989750094,77,3,978139144+82311916=1060451060,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
26,26,False,False,439288219,390148286,439288219+390148286=,8,0,829436505,76,3,319644065+185033292=504677357,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
27,27,False,False,7859788,7979386,7859788+7979386=,8,0,15819174,76,3,9269314+6827815=16097129,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
28,28,False,False,5746685,74617405,5746685+74617405=,8,0,80364090,76,3,9501390+25084631=34586021,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
29,29,False,False,1227763,881768096,1227763+881768096=,8,0,882995859,76,3,1581250+123021143=124602393,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
30,30,False,False,28696832,1516385,28696832+1516385=,8,0,30213217,76,3,92534194+1845784=94379978,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
31,31,False,False,86669258,60294542,86669258+60294542=,8,0,146463800,76,3,40040952+42571261=82612213,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
32,32,False,False,26269523,860417848,26269523+860417848=,8,0,886687371,76,3,12074787+883366766=895441553,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
33,33,False,False,288317111,6719702,288317111+6719702=,8,0,295036813,76,3,808308620+9967409=818276029,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
34,34,False,False,375974393,17570295,375974393+17570295=,8,0,393544688,76,3,924124509+20542733=944667242,gpt-3.5-turbo-0301,"You are MathGPT, an expert at solving math problems. When given a math problem, you respond only with the answer. You do not say any other words.",nosep,nosep,0,0,1,0,1
